Question Number,Topic Name,Resources (Name + URL)
21,3.5 Reading a line from a graph,"1) Khan Academy: https://www.khanacademy.org/math/algebra/x2f8bb11595b61c86:linear-equations-graphs and https://www.khanacademy.org/math/algebra-home/alg-linear-eq-func and https://www.khanacademy.org/math/algebra-basics/alg-basics-graphing-lines-and-slope, 2) Paul's Notes: https://tutorial.math.lamar.edu/classes/alg/lines.aspx, 3) Purple Math: https://www.purplemath.com/modules/graphlin.htm and https://www.purplemath.com/modules/graphlin3.htm and https://www.purplemath.com/modules/systlin2.htm"
22,4.1 Trig ratios: sine & cosine,"1) Khan Academy: https://www.khanacademy.org/math/trigonometry/trig-equations-and-identities and https://www.khanacademy.org/math/geometry/hs-geo-trig/hs-geo-trig-ratios-intro/a/finding-trig-ratios-in-right-triangles and https://www.khanacademy.org/math/geometry/hs-geo-trig/hs-geo-trig-ratios-intro/e/trigonometry_1 and https://www.khanacademy.org/math/trigonometry/trigonometry-right-triangles/reciprocal-trig-ratios/a/trigonometric-ratios-review, 2) Paul's Notes: https://tutorial.math.lamar.edu/pdf/trig_cheat_sheet.pdf and https://tutorial.math.lamar.edu/classes/calci/trigfcns.aspx, 3) Purple Math: https://www.purplemath.com/modules/graphing/idents.htm and https://www.purplemath.com/modules/ideneval.htm and https://www.purplemath.com/modules/basirati2.htm and https://www.purplemath.com/modules/quadangs3.htm and https://www.purplemath.com/modules/basirati.htm"
23,4.1 Trig ratios: sine & cosine,"1) Khan Academy: https://www.khanacademy.org/math/trigonometry/trig-equations-and-identities and https://www.khanacademy.org/math/geometry/hs-geo-trig/hs-geo-trig-ratios-intro/a/finding-trig-ratios-in-right-triangles and https://www.khanacademy.org/math/geometry/hs-geo-trig/hs-geo-trig-ratios-intro/e/trigonometry_1 and https://www.khanacademy.org/math/trigonometry/trigonometry-right-triangles/reciprocal-trig-ratios/a/trigonometric-ratios-review, 2) Paul's Notes: https://tutorial.math.lamar.edu/pdf/trig_cheat_sheet.pdf and https://tutorial.math.lamar.edu/classes/calci/trigfcns.aspx, 3) Purple Math: https://www.purplemath.com/modules/graphing/idents.htm and https://www.purplemath.com/modules/ideneval.htm and https://www.purplemath.com/modules/basirati2.htm and https://www.purplemath.com/modules/quadangs3.htm and https://www.purplemath.com/modules/basirati.htm"
24,4.2 Trig ratios: tangent (+ Pythagorean),"1) Khan Academy: https://www.khanacademy.org/math/trigonometry/trig-equations-and-identities and https://www.khanacademy.org/math/geometry/hs-geo-trig/hs-geo-trig-ratios-intro/a/finding-trig-ratios-in-right-triangles and https://www.khanacademy.org/math/geometry/hs-geo-trig/hs-geo-trig-ratios-intro/e/trigonometry_1 and https://www.khanacademy.org/math/trigonometry/trigonometry-right-triangles/reciprocal-trig-ratios/a/trigonometric-ratios-review, 2) Paul's Notes: https://tutorial.math.lamar.edu/pdf/trig_cheat_sheet.pdf and https://tutorial.math.lamar.edu/classes/calci/trigfcns.aspx, 3) Purple Math: https://www.purplemath.com/modules/graphing/idents.htm and https://www.purplemath.com/modules/ideneval.htm and https://www.purplemath.com/modules/basirati2.htm and https://www.purplemath.com/modules/quadangs3.htm and https://www.purplemath.com/modules/basirati.htm"
25,4.2 Trig ratios: tangent (+ Pythagorean),"1) Khan Academy: https://www.khanacademy.org/math/geometry-home/geometry-pythagorean-theorem and https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-pythagorean-theorem/e/pythagorean_theorem_1 and https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-pythagorean-theorem/a/pythagorean-theorem-intro, 2) Mathematics LibreTexts: https://math.libretexts.org/Courses/Fullerton_College/Math_100%3A_Liberal_Arts_Math_(Claassen_and_Ikeda)/02%3A_Geometry/2.04%3A_The_Pythagorean_Theorem, 3) Purple Math: https://www.purplemath.com/modules/pythagthm.htm and https://www.purplemath.com/modules/pythagthm2.htm"
26,4.3 Applied right-triangle trig,"1) Khan Academy: https://www.khanacademy.org/math/trigonometry/trig-equations-and-identities and https://www.khanacademy.org/math/geometry/hs-geo-trig/hs-geo-trig-ratios-intro/a/finding-trig-ratios-in-right-triangles and https://www.khanacademy.org/math/geometry/hs-geo-trig/hs-geo-trig-ratios-intro/e/trigonometry_1 and https://www.khanacademy.org/math/grade-10-math-snc-aligned/x403faa8cdfdccaea:applications-of-trigonometry and https://www.khanacademy.org/math/trigonometry/trigonometry-right-triangles/reciprocal-trig-ratios/a/trigonometric-ratios-review, 2) Paul's Notes: https://tutorial.math.lamar.edu/pdf/trig_cheat_sheet.pdf and https://tutorial.math.lamar.edu/classes/calci/trigfcns.aspx, 3) Purple Math: https://www.purplemath.com/modules/graphing/idents.htm and https://www.purplemath.com/modules/ideneval.htm and https://www.purplemath.com/modules/basirati2.htm and https://www.purplemath.com/modules/quadangs3.htm and https://www.purplemath.com/modules/basirati.htm and https://www.purplemath.com/modules/triggrph.htm and https://www.purplemath.com/modules/solvtrig2.htm"
27,4.4 Geometric angle relationships (complementary),"1) Khan Academy: https://www.khanacademy.org/math/trigonometry/trig-equations-and-identities and https://www.khanacademy.org/math/geometry/hs-geo-trig/hs-geo-trig-ratios-intro/a/finding-trig-ratios-in-right-triangles and https://www.khanacademy.org/math/geometry/hs-geo-trig/hs-geo-trig-ratios-intro/e/trigonometry_1 and https://www.khanacademy.org/test-prep/v2-sat-math/x0fcc98a58ba3bea7:geometry-and-trigonometry-harder and https://www.khanacademy.org/math/trigonometry/trigonometry-right-triangles/reciprocal-trig-ratios/a/trigonometric-ratios-review, 2) Paul's Notes: https://tutorial.math.lamar.edu/pdf/trig_cheat_sheet.pdf and https://tutorial.math.lamar.edu/classes/calci/trigfcns.aspx, 3) Purple Math: https://www.purplemath.com/modules/graphing/idents.htm and https://www.purplemath.com/modules/ideneval.htm and https://www.purplemath.com/modules/basirati2.htm and https://www.purplemath.com/modules/quadangs3.htm and https://www.purplemath.com/modules/basirati.htm and https://www.purplemath.com/modules/quadangs.htm and https://www.purplemath.com/modules/trig.htm"
28,4.4 Geometric angle relationships (complementary),"1) Khan Academy: https://www.khanacademy.org/math/trigonometry/trig-equations-and-identities and https://www.khanacademy.org/math/geometry/hs-geo-trig/hs-geo-trig-ratios-intro/a/finding-trig-ratios-in-right-triangles and https://www.khanacademy.org/math/geometry/hs-geo-trig/hs-geo-trig-ratios-intro/e/trigonometry_1 and https://www.khanacademy.org/test-prep/v2-sat-math/x0fcc98a58ba3bea7:geometry-and-trigonometry-harder and https://www.khanacademy.org/math/trigonometry/trigonometry-right-triangles/reciprocal-trig-ratios/a/trigonometric-ratios-review, 2) Paul's Notes: https://tutorial.math.lamar.edu/pdf/trig_cheat_sheet.pdf and https://tutorial.math.lamar.edu/classes/calci/trigfcns.aspx, 3) Purple Math: https://www.purplemath.com/modules/graphing/idents.htm and https://www.purplemath.com/modules/ideneval.htm and https://www.purplemath.com/modules/basirati2.htm and https://www.purplemath.com/modules/quadangs3.htm and https://www.purplemath.com/modules/basirati.htm and https://www.purplemath.com/modules/quadangs.htm and https://www.purplemath.com/modules/trig.htm"
29,4.5 Ladder problem: inverse trig + Pythagorean,"1) Khan Academy: https://www.khanacademy.org/math/trigonometry/trig-equations-and-identities/inverse-trig-functions and https://www.khanacademy.org/math/geometry/hs-geo-trig/hs-geo-solve-for-an-angle/a/inverse-trig-functions-intro and https://www.khanacademy.org/math/precalculus/x9e81a4f98389efdf:trig/x9e81a4f98389efdf:inverse-trig/e/inverse_trig_functions and https://www.khanacademy.org/math/ncert-class-12/x7ce8ca9c5869750b:inverse-trigonometric-functions-ncert-new and https://www.khanacademy.org/math/precalculus/x9e81a4f98389efdf:trig/x9e81a4f98389efdf:inverse-trig/a/inverse-trigonometric-functions-review and https://www.khanacademy.org/math/geometry-home/geometry-pythagorean-theorem and https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-pythagorean-theorem/e/pythagorean_theorem_1 and https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-pythagorean-theorem/a/pythagorean-theorem-intro, 2) Mathematics LibreTexts: https://math.libretexts.org/Courses/Fullerton_College/Math_100%3A_Liberal_Arts_Math_(Claassen_and_Ikeda)/02%3A_Geometry/2.04%3A_The_Pythagorean_Theorem and https://math.libretexts.org/Bookshelves/Precalculus/Precalculus_1e_(OpenStax)/06%3A_Periodic_Functions/6.03%3A_Inverse_Trigonometric_Functions and https://math.libretexts.org/Courses/Irvine_Valley_College/Math_3AC%3A_Analytic_Geometry_and_Calculus_I/09%3A_Chain_Rule_and_Inverse_Trig_Functions/9.03%3A_The_Inverse_Trigonometric_Functions, 3) Purple Math: https://www.purplemath.com/modules/pythagthm.htm and https://www.purplemath.com/modules/pythagthm2.htm and https://www.purplemath.com/modules/invratio.htm, 4) Paul's Math Notes: https://tutorial.math.lamar.edu/extras/algebratrigreview/inversetrig.aspx"
30,4.5 Ladder problem: inverse trig + Pythagorean,"1) Khan Academy: https://www.khanacademy.org/math/trigonometry/trig-equations-and-identities/inverse-trig-functions and https://www.khanacademy.org/math/geometry/hs-geo-trig/hs-geo-solve-for-an-angle/a/inverse-trig-functions-intro and https://www.khanacademy.org/math/precalculus/x9e81a4f98389efdf:trig/x9e81a4f98389efdf:inverse-trig/e/inverse_trig_functions and https://www.khanacademy.org/math/ncert-class-12/x7ce8ca9c5869750b:inverse-trigonometric-functions-ncert-new and https://www.khanacademy.org/math/precalculus/x9e81a4f98389efdf:trig/x9e81a4f98389efdf:inverse-trig/a/inverse-trigonometric-functions-review , 2) Mathematics LibreTexts:  https://math.libretexts.org/Bookshelves/Precalculus/Precalculus_1e_(OpenStax)/06%3A_Periodic_Functions/6.03%3A_Inverse_Trigonometric_Functions and https://math.libretexts.org/Courses/Irvine_Valley_College/Math_3AC%3A_Analytic_Geometry_and_Calculus_I/09%3A_Chain_Rule_and_Inverse_Trig_Functions/9.03%3A_The_Inverse_Trigonometric_Functions, 3) Purple Math: https://www.purplemath.com/modules/invratio.htm, 4) Paul's Math Notes: https://tutorial.math.lamar.edu/extras/algebratrigreview/inversetrig.aspx"
